Id from previous system,Subject Type,Date Of Registration,Registration Location,First Name,Last Name,Date Of Birth,Date Of Birth Verified,Gender,State,District,Taluka,Vllage,Faliyu,Anganwadi,"Is Father Registered?","Registered Father List","individual father age","individual father occupation","Father's name","Father's age","Father's occupation","Other occupation, please specify","Is Mother Registered?","Registered Mother List","individual mother age","individual mother occupation","Mother's name","Mother's age","Mother's occupation","Other occupation of Mother, please specify","Guardian name","Guardian's age","Guardian age","Occupation of the Guardian","Ayushman card","Aadhar Card","Your Occupation","Other occupation you have, please specify","Education","Other Education, please specify","Marital Status","Disability","Contact number of the individual","Migration","Place of migration","Other Place of migration"
1001,Individual,2023-04-10,"19.8188,83.9172",Amit,Patel,2000-12-15,true,Male,Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC,Yes,UUID-FA-001,45,Professional,Ramesh,45,Professional,Doctor,Yes,UUID-MA-001,40,Home maker,Sunita,40,Home maker,Teacher,Meena,35,35,Home maker,Yes,No,Student,Engineer,Graduate,,Married,No,9876543210,No,Ahmedabad,
1002,Individual,2022-06-21,"19.8188,83.9172",Sneha,Shah,1998-07-23,false,Female,Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC,No,,50,Retired,Harish,50,Retired,Artist,No,,48,Skilled labour,Anita,48,Skilled labour,Designer,Suresh,60,60,Retired,No,Yes,Small business,Shopkeeper,Post graduate,,Unmarried,Yes,9876501234,Yes,Bardoli,Other city
1003,Individual,2021-11-11,"19.8188,83.9172",Vikas,Mehta,2005-03-30,true,Male,Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC,Yes,UUID-FA-002,35,Factory labourer,Manoj,35,Factory labourer,Welder,Yes,UUID-MA-002,32,Home maker,Geeta,32,Home maker,Artist,Anil,40,40,Factory labourer,Yes,No,Student,Photographer,High school,,Married,No,9876512345,No,Valsad,
1004,Individual,2024-01-03,"19.8188,83.9172",Priya,Desai,1995-09-12,false,Female,Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC,No,,28,Small shop,Sunil,28,Small shop,Florist,No,,26,Student,Kavita,26,Student,Writer,Manisha,55,55,Home maker,No,Yes,Student,Artist,Graduate,,Divorcee,No,9876523456,Yes,Nasik,Other state
1005,Individual,2023-03-18,"19.8187,83.9173",Rahul,Joshi,2002-04-08,true,Male,Gujarat,Dang,Waghai,Nani Dabdar,Nichlu faliyu,Nanidabdar AWC,Yes,UUID-FA-003,55,Own Farming,Vinod,55,Own Farming,Farmer,Yes,UUID-MA-003,50,Home maker,Sarita,50,Home maker,Seamstress,Deepak,38,38,Own Farming,Yes,No,Professional,Engineer,Post graduate,,Widower,Yes,9876534567,No,Navsari,
1006,Individual,2022-12-22,"19.8187,83.9173",Rina,Trivedi,2001-11-25,false,Female,Gujarat,Dang,Waghai,Nani Dabdar,Nichlu faliyu,Nanidabdar AWC,No,,30,Animal husbandry,Ajay,30,Animal husbandry,Vet,No,,28,Home maker,Poonam,28,Home maker,Chef,Rajesh,42,42,Animal husbandry,No,Yes,Small business,Entrepreneur,College,,Separated,No,9876545678,Yes,Valsad,Other district
1007,Individual,2021-08-14,"19.8187,83.9173",Kiran,Patel,1999-06-19,true,Male,Gujarat,Dang,Waghai,Nani Dabdar,Nichlu faliyu,Nanidabdar AWC,Yes,UUID-FA-004,40,Professional,Naresh,40,Professional,Architect,Yes,UUID-MA-004,38,Home maker,Shalini,38,Home maker,Artist,Sunita,50,50,Professional,Yes,No,Skilled labour,Electrician,Graduate,,Married,No,9876556789,No,Vapi,
1008,Individual,2023-10-29,"19.8188,83.9172",Pooja,Kapoor,2003-02-17,false,Female,Gujarat,Dang,Waghai,Nanapada,Uplu faliyu,Nanapada AWC,No,,25,Student,Arvind,25,Student,Musician,No,,23,Student,Leena,23,Student,Poet,Neha,45,45,Student,No,Yes,Student,Artist,ITI,,Unmarried,Yes,9876567890,Yes,Ahmedabad,Other state
1009,Individual,2024-04-17,"19.8188,83.9172",Sagar,Naik,1997-08-05,true,Male,Gujarat,Dang,Waghai,Nanapada,Uplu faliyu,Nanapada AWC,Yes,UUID-FA-005,60,Retired,Prakash,60,Retired,Teacher,Yes,UUID-MA-005,58,Home maker,Kamla,58,Home maker,Writer,Ankit,33,33,Retired,Yes,No,Factory labourer,Worker,High school,,Widow,No,9876578901,No,Bardoli,
1010,Individual,2022-07-27,"19.8188,83.9172",Nisha,Verma,1996-10-10,false,Female,Gujarat,Dang,Waghai,Nanapada,Uplu faliyu,Nanapada AWC,No,,27,Home maker,Satish,27,Home maker,Artist,No,,25,Home maker,Meera,25,Home maker,Designer,Rekha,48,48,Home maker,No,Yes,Student,Writer,Primary school,,Divorcee,Yes,9876589012,Yes,Valsad,Other city
